lon,lat,name,number
9.25944609367217,45.562678287247,Via Monte Ortigara,"7"
9.26207400979389,45.5611826346112,Via Benvenuto Cellini,14F
9.26152993389998,45.5612918939975,Via Benvenuto Cellini,"20"
9.26518935642222,45.5611844640737,Via Dei Prati,"11"
9.26503911447146,45.5612523205551,Via Dei Prati,"9"
9.26451875351482,45.5612940313492,Via Dei Prati,"7"
9.26417303883398,45.5613488375912,Via Dei Prati,"1"
9.26375889237435,45.5594505747477,Via Solone,"5"
9.26347076421694,45.5594872438198,Via Solone,"3"
9.25793141444979,45.5610615301782,Via Asiago,"7"
9.24273452074573,45.5648031607639,Via Scrivia,"4"
9.30727396991924,45.5707688171873,Via Sant'albino,"34"
9.30934340675391,45.5724554246862,Via Francesco Ferrucci,"30"
9.31095564719848,45.5713778283424,Via Marco D'agrate,"26"
9.30933738901012,45.5713618255321,Via Ettore Fieramosca,"8"
9.3098929046113,45.5712928122222,Via Ettore Fieramosca,"4"
9.30891186399402,45.5705978898225,Via Sant'albino,"24"
9.31102388675549,45.5701286241802,Via Sant'albino,"6"
9.31126255065267,45.5701234736198,Via Sant'albino,"4"
9.3132325098763,45.5691774995991,Via Giovanni Dalle Bande Nere,"15"
9.3125521955271,45.5692693642688,Via Giovanni Dalle Bande Nere,"9"
9.31225722803378,45.5693013144858,Via Giovanni Dalle Bande Nere,"7"
9.31170822479946,45.569372895844,Via Giovanni Dalle Bande Nere,"5"
9.3116541152855,45.5693798302519,Via Giovanni Dalle Bande Nere,"3"
9.31037194058775,45.5678171419048,Via Caprera,"5"
9.31049966816362,45.5677402860426,Via Caprera,"7"
9.31436581264543,45.5673021902097,Via Sandro Botticelli,"34"
9.31351387179364,45.5673495276532,Via Sandro Botticelli,"30"
9.31386127529054,45.5673125695669,Via Sandro Botticelli,"32"
9.31976379961692,45.5675167612116,Via Sandro Botticelli,"103"
9.31534620699968,45.5727360815707,Via Adda,"80"
9.32133180852222,45.569996636466,Via Campidano,"12"
9.32142090676044,45.569609341613,Via Giovanni Dalle Bande Nere,"71"
9.32132646959576,45.5696231088305,Via Campidano,"2"
9.32097279296439,45.5699661421743,Via Campidano,"3"
9.31240100460636,45.5708899537296,Via Bartolomeo Eustachi,"2"
9.31129321496247,45.5710324847304,Via Bartolomeo Eustachi,"14"
9.31385728390914,45.5729111924424,Via Romano Guardini,"4"
9.3121240296073,45.5717863038467,Via Goffredo Mameli,"9"
9.31274032152847,45.5719871503552,Via Goffredo Mameli,"13"
9.31289080915167,45.5719687362223,Via Goffredo Mameli,"15"
9.30720387011653,45.5714260805854,Via Pietro Micca,"12"
9.27791169050283,45.5741202241383,Via Donatello,"14"
9.28335560500518,45.5755512531618,Via Andrea Palladio,"5"
9.26706730881191,45.5734709608034,Via Luigi Galvani,"2"
9.26797507944887,45.5746884732126,Via Galileo Ferraris,"6"
9.26847541200931,45.5744532809357,Via Galileo Ferraris,"4"
9.26861113682036,45.5743843471051,Via Galileo Ferraris,"2"
9.2696419248782,45.5758276893212,Via Maria Gaetana Agnesi,"2"
9.26625288893835,45.5740264246654,Via Antonio Pacinotti,"14"
9.26623921234182,45.5714791762233,Via Francesco Domenico Guerrazzi,"2"
9.26873041466823,45.5714958546215,Via Andre' Marie Ampere,"11"
9.26931726627518,45.5712694469857,Via Val D'ossola,"1"
9.26995383867784,45.5710564293788,Via Val D'ossola,"5"
9.28036497496392,45.5700458028471,Via Cesare Da Sesto,"40"
9.2482280440569,45.5747869959637,Via Val Venosta,"5"
9.24797652749935,45.5744275014476,Via Val Cavallina,"1"
