id;name;lat;lon;category;subcategory;wheelchair;source
osm:node_11737017934;Casa Bento;45.5842135;9.2706694;amenity;restaurant;;osm_node
osm:node_11737044291;Lifegate Energy;45.5822401;9.272169;office;energy_supplier;;osm_node
osm:node_11737182897;My way bar;45.5876772;9.2702906;amenity;restaurant;;osm_node
osm:node_11755600054;Shoeroom;45.5859352;9.273886;shop;shoes;;osm_node
osm:node_11755607163;Hotel des Arts;45.5862151;9.2733007;tourism;gallery;;osm_node
osm:node_11755634969;Sartoria Riparazioni;45.5863123;9.2734559;shop;tailor;;osm_node
osm:node_11755739122;Agapanthus;45.5851119;9.2754867;shop;jewelry;;osm_node
osm:node_11755803513;Myosotis;45.5892296;9.2687721;shop;florist;;osm_node
osm:node_11761376226;Club Alpino Italiano - Sottosezione San Fruttuoso;45.5693144;9.2434557;office;association;;osm_node
osm:node_11762220222;EnerMia - Messa T.;45.5648958;9.28312;amenity;charging_station;;osm_node
osm:node_11762220223;Acinque - Renault - Viale Enrico Fermi;45.5655676;9.2825769;amenity;charging_station;;osm_node
osm:node_11762220224;Q8 electro - Via Fermi;45.5658572;9.2816823;amenity;charging_station;;osm_node
osm:node_11913239205;Car Clinic;45.5802749;9.281231;shop;car_repair;;osm_node
osm:node_11913239206;Lombardi;45.5802561;9.281762;shop;locksmith;;osm_node
osm:node_11913239207;International Promotion Marketing;45.5798429;9.2821077;office;company;;osm_node
osm:node_11930805049;Don Panzerotto;45.5567889;9.2607433;amenity;fast_food;;osm_node
osm:node_11951738181;BCC Carate Brianza - Agenzia 23;45.5611218;9.2636422;amenity;bank;;osm_node
osm:node_11951743930;CAF Monza Brianza;45.5612084;9.2636901;office;union;;osm_node
osm:node_11991564854;Humanitas Medical Care;45.5992288;9.2636791;healthcare;laboratory;yes;osm_node
osm:node_12013409529;Comune di Monza Settore Istruzione;45.5723946;9.2843326;office;government;;osm_node
osm:node_12013412669;Farmacia Buonarroti;45.5693759;9.2844633;amenity;pharmacy;;osm_node
osm:node_12113273393;Base scout - Area tende;45.5922832;9.2873401;tourism;camp_site;;osm_node
osm:node_12113278704;Punto fuoco;45.5922475;9.2878571;amenity;bbq;;osm_node
osm:node_12137410595;Notting Hill;45.5777434;9.2541709;amenity;pub;;osm_node
osm:node_12192853201;Calisthenics - Parchetto pubblico;45.5843281;9.2837578;leisure;sports_centre;;osm_node
osm:node_12196990301;Doll's Cafè;45.5674336;9.2398005;amenity;bar;;osm_node
